premise,smcdel_problem,n_announcements,pbcheck,hypothesis,setup,hypothesis_depth,n_agents,label,names,index,s-l,deberta_pred,deberta_confidence,difficulty
There are two persons. Everyone is visible to others. It is publicly announced that someone's forehead is muddy. It is publicly announced that Alice does not know whether or not everyone's forehead is muddy. It is publicly announced that Alice's forehead is muddy.,"VARS 1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! ~(Agenta knows whether (1&2)) ] [ ! 1 ] (Agenta knows whether 2)",2,"VARS 0,1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! ~(Agenta knows whether (1&2)) ] [ ! 1 ] 0",Alice can now know whether Christine's forehead is muddy.,forehead,0,2,entailment,['Alice' 'Christine'],35351,forehead-1,1,0.9994251728,0.0005748272
There are four persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Lauren knows whether or not nobody's forehead is muddy.,"VARS 1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentc knows whether (~(1|2|3|4))) ] Agentc knows that (Agentb knows that 2)",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentc knows whether (~(1|2|3|4))) ] 0",Lauren can now know that Tracy can know that Tracy's forehead is muddy.,forehead_mirror,1,4,not_entailment,['Debbie' 'Tracy' 'Lauren' 'Johnnie'],49417,forehead_mirror-0,0,0.9982271791,0.0017728209
There are four persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Winifred knows whether or not everyone's forehead is muddy.,"VARS 1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentc knows whether (1&2&3&4)) ] Agenta knows that (Agentb knows that 1)",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentc knows whether (1&2&3&4)) ] 0",Freddie can now know that Amanda can know that Freddie's forehead is muddy.,forehead_mirror,1,4,not_entailment,['Freddie' 'Amanda' 'Winifred' 'Kathy'],66799,forehead_mirror-0,0,0.8635368943,0.1364631057
There are two persons. Everyone is visible to others. It is publicly announced that someone's forehead is muddy. It is publicly announced that Michael does not know whether Michael's forehead is muddy. It is publicly announced that Michael knows whether or not nobody's forehead is muddy. It is publicly announced that Michael does not know whether Michael's forehead is muddy.,"VARS 1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! ~(Agenta knows whether 1) ] [ ! (Agenta knows whether (~(1|2))) ] [ ! ~(Agenta knows whether 1) ] (Agenta knows that 1)",3,"VARS 0,1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! ~(Agenta knows whether 1) ] [ ! (Agenta knows whether (~(1|2))) ] [ ! ~(Agenta knows whether 1) ] 0",Michael can now know that Michael's forehead is muddy.,forehead,0,2,not_entailment,['Michael' 'Phillip'],12191,forehead-0,0,0.9109317064,0.0890682936
"There are four persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Willie's card is shown to Nathaniel. Raymond's card is shown to Raymond. Andrew's card is shown to Willie. Willie's card is shown to Andrew. Andrew's card is shown to Andrew. It is publicly announced that someone picked a red card. It is publicly announced that Willie does not know whether Willie picked a red card.","VARS 1,2,3,4 LAW Top OBS Agenta:3 Agentb:2 Agentc:4 Agentd:3,4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentc knows whether 3) ] Agentd knows whether (Agentc knows that 3)",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:3 Agentb:2 Agentc:4 Agentd:3,4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentc knows whether 3) ] 0",Andrew can now know whether Willie can know that Willie picked a red card.,explicit,1,4,entailment,['Nathaniel' 'Raymond' 'Willie' 'Andrew'],55199,explicit-1,1,0.9405223131,0.0594776869
There are three persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Howard knows whether Jennifer's forehead is muddy.,"VARS 1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentc knows whether 2) ] Agenta knows that (Agentb knows that 3)",1,"VARS 0,1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentc knows whether 2) ] 0",Margaret can now know that Jennifer can know that Howard's forehead is muddy.,forehead_mirror,1,3,not_entailment,['Margaret' 'Jennifer' 'Howard'],2974,forehead_mirror-0,0,0.9985671043,0.0014328957
There are four persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Esther knows whether or not nobody's forehead is muddy. It is publicly announced that Esther knows whether Esther's forehead is muddy. It is publicly announced that Maranda's forehead is muddy. It is publicly announced that Melissa knows whether Maranda's forehead is muddy.,"VARS 1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentb knows whether (~(1|2|3|4))) ] [ ! (Agentb knows whether 2) ] [ ! 1 ] [ ! (Agentc knows whether 1) ] Agentd knows whether (Agentb knows whether (1|2|3|4))",4,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentb knows whether (~(1|2|3|4))) ] [ ! (Agentb knows whether 2) ] [ ! 1 ] [ ! (Agentc knows whether 1) ] 0",Jennifer can now know whether Esther can know whether someone's forehead is muddy.,forehead_mirror,1,4,entailment,['Maranda' 'Esther' 'Melissa' 'Jennifer'],12924,forehead_mirror-1,1,0.9997778535,0.0002221465
There are four persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Joyce knows whether or not nobody's forehead is muddy. It is publicly announced that Joyce knows whether Joyce's forehead is muddy. It is publicly announced that Chad's forehead is muddy. It is publicly announced that Shawn knows whether Chad's forehead is muddy.,"VARS 1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentb knows whether (~(1|2|3|4))) ] [ ! (Agentb knows whether 2) ] [ ! 1 ] [ ! (Agentc knows whether 1) ] Agentb knows whether (Agentd knows whether (~(1|2|3|4)))",4,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1,2,3,4 Agentb:1,2,3,4 Agentc:1,2,3,4 Agentd:1,2,3,4 VALID? [ ! (1|2|3|4) ] [ ! (Agentb knows whether (~(1|2|3|4))) ] [ ! (Agentb knows whether 2) ] [ ! 1 ] [ ! (Agentc knows whether 1) ] 0",Joyce can now know whether Brian can know whether or not nobody's forehead is muddy.,forehead_mirror,1,4,entailment,['Chad' 'Joyce' 'Shawn' 'Brian'],53967,forehead_mirror-1,1,0.9997524619,0.0002475381
"There are three persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Donna's card is shown to Joseph. Joseph's card is shown to Sally. It is publicly announced that someone picked a red card. It is publicly announced that Sally does not know whether Sally picked a red card. It is publicly announced that Sally does not know whether Sally picked a red card.","VARS 1,2,3 LAW Top OBS Agenta:3 Agentb:1 VALID? [ ! (1|2|3) ] [ ! ~(Agentb knows whether 2) ] [ ! ~(Agentb knows whether 2) ] (Agenta knows whether (1|2|3))",2,"VARS 0,1,2,3 LAW Top OBS Agenta:3 Agentb:1 VALID? [ ! (1|2|3) ] [ ! ~(Agentb knows whether 2) ] [ ! ~(Agentb knows whether 2) ] 0",Joseph can now know whether someone picked a red card.,explicit,0,3,entailment,['Joseph' 'Sally' 'Donna'],52384,explicit-1,1,0.9997828603,0.0002171397
There are three persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that not everyone's forehead is muddy. It is publicly announced that Dorothy knows whether Max's forehead is muddy.,"VARS 1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (~(1&2&3)) ] [ ! (Agentb knows whether 1) ] (Agenta knows that (~(1|2|3)))",2,"VARS 0,1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (~(1&2&3)) ] [ ! (Agentb knows whether 1) ] 0",Max can now know that nobody's forehead is muddy.,forehead_mirror,0,3,not_entailment,['Max' 'Dorothy' 'Thomas'],36339,forehead_mirror-0,0,0.9983114004,0.0016885996
There are two persons. Everyone is visible to others. It is publicly announced that someone's forehead is muddy. It is publicly announced that Catherine knows whether someone's forehead is muddy. It is publicly announced that Vanessa does not know whether or not everyone's forehead is muddy.,"VARS 1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! (Agentb knows whether (1|2)) ] [ ! ~(Agenta knows whether (1&2)) ] Agenta knows that (Agentb knows whether 1)",2,"VARS 0,1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! (Agentb knows whether (1|2)) ] [ ! ~(Agenta knows whether (1&2)) ] 0",Vanessa can now know that Catherine can know whether Vanessa's forehead is muddy.,forehead,1,2,entailment,['Vanessa' 'Catherine'],25024,forehead-1,1,0.9991545677,0.0008454323
"There are three persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Thomas's card is shown to Michael. Michael's card is shown to Michael. Thomas's card is shown to Dani. Michael's card is shown to Dani. Dani's card is shown to Dani. It is publicly announced that someone picked a red card. It is publicly announced that Michael knows whether or not nobody picked a red card. It is publicly announced that Thomas knows whether Michael picked a red card.","VARS 1,2,3 LAW Top OBS Agenta:1,2 Agentb:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentb knows whether (~(1|2|3))) ] [ ! (Agenta knows whether 2) ] (Agentb knows whether (~(1|2|3)))",2,"VARS 0,1,2,3 LAW Top OBS Agenta:1,2 Agentb:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentb knows whether (~(1|2|3))) ] [ ! (Agenta knows whether 2) ] 0",Michael can now know whether or not nobody picked a red card.,explicit,0,3,entailment,['Thomas' 'Michael' 'Dani'],58320,explicit-1,1,0.9997238517,0.0002761483
There are three persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Michael's forehead is muddy.,"VARS 1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! 1 ] Agentb knows that (Agenta knows that (1&2&3))",1,"VARS 0,1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! 1 ] 0",Austin can now know that Michael can know that everyone's forehead is muddy.,forehead_mirror,1,3,not_entailment,['Michael' 'Austin' 'Esperanza'],57961,forehead_mirror-0,0,0.997013092,0.002986908
There are three persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that everyone is thirsty. It is publicly announced that Margaret knows whether Margaret is thirsty.,"VARS 1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! (1&2&3) ] [ ! (Agentc knows whether 3) ] Agentb knows whether (Agentc knows whether 3)",2,"VARS 0,1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! (1&2&3) ] [ ! (Agentc knows whether 3) ] 0",Timothy can now know whether Margaret can know whether Margaret is thirsty.,internal,1,3,entailment,['Felix' 'Timothy' 'Margaret'],59151,internal-1,1,0.9985899329,0.0014100671
There are three persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Steven knows whether or not everyone's forehead is muddy.,"VARS 1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentb knows whether (1&2&3)) ] Agenta knows that (Agentb knows whether (1&2&3))",1,"VARS 0,1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentb knows whether (1&2&3)) ] 0",Myrtle can now know that Steven can know whether or not everyone's forehead is muddy.,forehead_mirror,1,3,entailment,['Myrtle' 'Steven' 'Ashli'],27423,forehead_mirror-1,1,0.9996806383,0.0003193617
There are two persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Timothy knows whether Raymond is thirsty.,"VARS 1,2 LAW Top OBS Agenta:1 Agentb:2 VALID? [ ! (1|2) ] [ ! (Agentb knows whether 1) ] Agenta knows whether (Agentb knows whether 1)",1,"VARS 0,1,2 LAW Top OBS Agenta:1 Agentb:2 VALID? [ ! (1|2) ] [ ! (Agentb knows whether 1) ] 0",Raymond can now know whether Timothy can know whether Raymond is thirsty.,internal,1,2,entailment,['Raymond' 'Timothy'],22804,internal-1,1,0.9986045957,0.0013954043
There are four persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Jill does not know whether Reginald is thirsty. It is publicly announced that Jill does not know whether Randy is thirsty.,"VARS 1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentc knows whether 2) ] [ ! ~(Agentc knows whether 4) ] Agentd knows that (Agentb knows that 4)",2,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentc knows whether 2) ] [ ! ~(Agentc knows whether 4) ] 0",Randy can now know that Reginald can know that Randy is thirsty.,internal,1,4,not_entailment,['Marie' 'Reginald' 'Jill' 'Randy'],51378,internal-0,0,0.9930247068,0.0069752932
There are four persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Rikki does not know whether Daryl is thirsty.,"VARS 1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentc knows whether 1) ] (Agentd knows whether 3)",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentc knows whether 1) ] 0",Billy can now know whether Rikki is thirsty.,internal,0,4,not_entailment,['Daryl' 'Allan' 'Rikki' 'Billy'],5050,internal-0,0,0.9522816539,0.0477183461
There are two persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Sylvester knows whether someone is thirsty. It is publicly announced that Sylvester knows whether Sylvester is thirsty. It is publicly announced that everyone is thirsty.,"VARS 1,2 LAW Top OBS Agenta:1 Agentb:2 VALID? [ ! (1|2) ] [ ! (Agentb knows whether (1|2)) ] [ ! (Agentb knows whether 2) ] [ ! (1&2) ] (Agentb knows whether (~(1|2)))",3,"VARS 0,1,2 LAW Top OBS Agenta:1 Agentb:2 VALID? [ ! (1|2) ] [ ! (Agentb knows whether (1|2)) ] [ ! (Agentb knows whether 2) ] [ ! (1&2) ] 0",Sylvester can now know whether or not nobody is thirsty.,internal,0,2,entailment,['Jerry' 'Sylvester'],66328,internal-1,1,0.9997271895,0.0002728105
There are two persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that someone's forehead is muddy. It is publicly announced that Kevin knows whether or not everyone's forehead is muddy.,"VARS 1,2 LAW Top OBS Agenta:1,2 Agentb:1,2 VALID? [ ! (1|2) ] [ ! (1|2) ] [ ! (Agenta knows whether (1&2)) ] (Agenta knows that 2)",2,"VARS 0,1,2 LAW Top OBS Agenta:1,2 Agentb:1,2 VALID? [ ! (1|2) ] [ ! (1|2) ] [ ! (Agenta knows whether (1&2)) ] 0",Kevin can now know that Harrison's forehead is muddy.,forehead_mirror,0,2,not_entailment,['Kevin' 'Harrison'],8793,forehead_mirror-0,0,0.8041531444,0.1958468556
"There are four persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Christina's card is shown to Robert. Clyde's card is shown to Robert. Christina's card is shown to Nancee. Robert's card is shown to Christina. Clyde's card is shown to Christina. Robert's card is shown to Clyde. Clyde's card is shown to Clyde. It is publicly announced that someone picked a red card. It is publicly announced that Nancee does not know whether Clyde picked a red card.","VARS 1,2,3,4 LAW Top OBS Agenta:3,4 Agentb:3 Agentc:1,4 Agentd:1,4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentb knows whether 4) ] (Agentc knows that (1&2&3&4))",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:3,4 Agentb:3 Agentc:1,4 Agentd:1,4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentb knows whether 4) ] 0",Christina can now know that everyone picked a red card.,explicit,0,4,not_entailment,['Robert' 'Nancee' 'Christina' 'Clyde'],36638,explicit-0,0,0.998611331,0.001388669
There are four persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Clarence does not know whether or not everyone is thirsty. It is publicly announced that Richard knows whether someone is thirsty.,"VARS 1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agenta knows whether (1&2&3&4)) ] [ ! (Agentc knows whether (1|2|3|4)) ] (Agentb knows whether (~(1|2|3|4)))",2,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agenta knows whether (1&2&3&4)) ] [ ! (Agentc knows whether (1|2|3|4)) ] 0",David can now know whether or not nobody is thirsty.,internal,0,4,entailment,['Clarence' 'David' 'Richard' 'Micheal'],62585,internal-1,1,0.9997296929,0.0002703071
"There are two persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Harry's card is shown to Harry. Kay's card is shown to Harry. Harry's card is shown to Kay. It is publicly announced that someone picked a red card. It is publicly announced that everyone picked a red card.","VARS 1,2 LAW Top OBS Agenta:1,2 Agentb:1 VALID? [ ! (1|2) ] [ ! (1&2) ] (Agentb knows that (1|2))",1,"VARS 0,1,2 LAW Top OBS Agenta:1,2 Agentb:1 VALID? [ ! (1|2) ] [ ! (1&2) ] 0",Kay can now know that someone picked a red card.,explicit,0,2,entailment,['Harry' 'Kay'],16860,explicit-1,1,0.9997749925,0.0002250075
There are three persons. Everyone is visible to others. There is a mirror in the room. It is publicly announced that someone's forehead is muddy. It is publicly announced that Liliana knows whether someone's forehead is muddy.,"VARS 1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentb knows whether (1|2|3)) ] Agenta knows that (Agentb knows that (~(1|2|3)))",1,"VARS 0,1,2,3 LAW Top OBS Agenta:1,2,3 Agentb:1,2,3 Agentc:1,2,3 VALID? [ ! (1|2|3) ] [ ! (Agentb knows whether (1|2|3)) ] 0",Rene can now know that Liliana can know that nobody's forehead is muddy.,forehead_mirror,1,3,not_entailment,['Rene' 'Liliana' 'Hilda'],62523,forehead_mirror-0,0,0.9982565045,0.0017434955
"There are four persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Patricia's card is shown to Patricia. Debora's card is shown to Patricia. Patricia's card is shown to William. William's card is shown to William. Clemente's card is shown to William. Debora's card is shown to William. Patricia's card is shown to Clemente. William's card is shown to Debora. It is publicly announced that someone picked a red card.","VARS 1,2,3,4 LAW Top OBS Agenta:1,4 Agentb:1,2,3,4 Agentc:1 Agentd:2 VALID? [ ! (1|2|3|4) ] Agenta knows that (Agentd knows that (1&2&3&4))",0,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1,4 Agentb:1,2,3,4 Agentc:1 Agentd:2 VALID? [ ! (1|2|3|4) ] 0",Patricia can now know that Debora can know that everyone picked a red card.,explicit,1,4,not_entailment,['Patricia' 'William' 'Clemente' 'Debora'],34283,explicit-0,0,0.997824192,0.002175808
There are four persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that someone is thirsty.,"VARS 1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! (1|2|3|4) ] (Agentc knows whether 1)",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 Agentd:4 VALID? [ ! (1|2|3|4) ] [ ! (1|2|3|4) ] 0",Franklin can now know whether Assunta is thirsty.,internal,0,4,not_entailment,['Assunta' 'Marion' 'Franklin' 'Richard'],6788,internal-0,0,0.9951654673,0.0048345327
"There are four persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Gary's card is shown to Laurie. Laurie's card is shown to Jane. It is publicly announced that someone picked a red card.","VARS 1,2,3,4 LAW Top OBS Agenta:4 Agentb:1 VALID? [ ! (1|2|3|4) ] (Agentb knows that 3)",0,"VARS 0,1,2,3,4 LAW Top OBS Agenta:4 Agentb:1 VALID? [ ! (1|2|3|4) ] 0",Jane can now know that Christopher picked a red card.,explicit,0,4,not_entailment,['Laurie' 'Jane' 'Christopher' 'Gary'],62431,explicit-0,0,0.9984951019,0.0015048981
There are two persons. Everyone is visible to others. It is publicly announced that someone's forehead is muddy. It is publicly announced that Kimberly does not know whether Kimberly's forehead is muddy. It is publicly announced that Elizabeth knows whether someone's forehead is muddy.,"VARS 1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! ~(Agenta knows whether 1) ] [ ! (Agentb knows whether (1|2)) ] (Agentb knows that 1)",2,"VARS 0,1,2 LAW Top OBS Agenta:2 Agentb:1 VALID? [ ! (1|2) ] [ ! ~(Agenta knows whether 1) ] [ ! (Agentb knows whether (1|2)) ] 0",Elizabeth can now know that Kimberly's forehead is muddy.,forehead,0,2,not_entailment,['Kimberly' 'Elizabeth'],36753,forehead-0,0,0.9940788746,0.0059211254
There are three persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Nancy does not know whether Agnes is thirsty. It is publicly announced that Agnes does not know whether Nancy is thirsty. It is publicly announced that Thomas does not know whether or not everyone is thirsty.,"VARS 1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! ~(Agentb knows whether 3) ] [ ! ~(Agentc knows whether 2) ] [ ! ~(Agenta knows whether (1&2&3)) ] (Agentc knows whether 1)",3,"VARS 0,1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! ~(Agentb knows whether 3) ] [ ! ~(Agentc knows whether 2) ] [ ! ~(Agenta knows whether (1&2&3)) ] 0",Agnes can now know whether Thomas is thirsty.,internal,0,3,entailment,['Thomas' 'Nancy' 'Agnes'],64616,internal-1,1,0.6982142329,0.3017857671
There are three persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Paul does not know whether or not everyone is thirsty. It is publicly announced that Brittany does not know whether Victor is thirsty. It is publicly announced that Brittany does not know whether Victor is thirsty. It is publicly announced that Victor knows whether someone is thirsty.,"VARS 1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! ~(Agentb knows whether (1&2&3)) ] [ ! ~(Agenta knows whether 3) ] [ ! ~(Agenta knows whether 3) ] [ ! (Agentc knows whether (1|2|3)) ] (Agentc knows that (1&2&3))",4,"VARS 0,1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! ~(Agentb knows whether (1&2&3)) ] [ ! ~(Agenta knows whether 3) ] [ ! ~(Agenta knows whether 3) ] [ ! (Agentc knows whether (1|2|3)) ] 0",Victor can now know that everyone is thirsty.,internal,0,3,not_entailment,['Brittany' 'Paul' 'Victor'],29145,internal-0,0,0.9976765513,0.0023234487
There are three persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Shon does not know whether Alta is thirsty.,"VARS 1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! ~(Agenta knows whether 3) ] Agentb knows that (Agentc knows that (1&2&3))",1,"VARS 0,1,2,3 LAW Top OBS Agenta:1 Agentb:2 Agentc:3 VALID? [ ! (1|2|3) ] [ ! ~(Agenta knows whether 3) ] 0",Mark can now know that Alta can know that everyone is thirsty.,internal,1,3,not_entailment,['Shon' 'Mark' 'Alta'],35465,internal-0,0,0.9984117746,0.0015882254
"There are four persons. Everyone is visible to others. Each person draws a card, face unrevealed (red or black). Zachary's card is shown to John. Zachary's card is shown to Zachary. Jason's card is shown to Zachary. Terry's card is shown to Jason. It is publicly announced that someone picked a red card. It is publicly announced that Zachary does not know whether Terry picked a red card.","VARS 1,2,3,4 LAW Top OBS Agenta:2 Agentb:2,3 Agentc:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentb knows whether 4) ] (Agentb knows whether (1&2&3&4))",1,"VARS 0,1,2,3,4 LAW Top OBS Agenta:2 Agentb:2,3 Agentc:4 VALID? [ ! (1|2|3|4) ] [ ! ~(Agentb knows whether 4) ] 0",Zachary can now know whether or not everyone picked a red card.,explicit,0,4,not_entailment,['John' 'Zachary' 'Jason' 'Terry'],19259,explicit-0,0,0.9814903736,0.0185096264
There are two persons. Everyone is visible to others. It is publicly announced that someone is thirsty. It is publicly announced that Kevin knows whether or not nobody is thirsty.,"VARS 1,2 LAW Top OBS Agenta:1 Agentb:2 VALID? [ ! (1|2) ] [ ! (Agenta knows whether (~(1|2))) ] (Agentb knows that (1&2))",1,"VARS 0,1,2 LAW Top OBS Agenta:1 Agentb:2 VALID? [ ! (1|2) ] [ ! (Agenta knows whether (~(1|2))) ] 0",Joseph can now know that everyone is thirsty.,internal,0,2,not_entailment,['Kevin' 'Joseph'],41420,internal-0,0,0.9985839128,0.0014160872
