story,question,answer,i,dataGenSeq,sType,qTypeRaw,qTypeTomOrNot,qOrder,storyHasToM,answerMem,answerReal,qToMandOmniReader,answerMemOrReal,cands,correct,falseTrueBelief,factVsMind
James entered the living room. Hunter entered the living room. The pajamas is in the bucket. James moved the pajamas to the drawer. Hunter exited the living room. Olivia entered the pantry.,Where is the pajamas really?,drawer,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_2_enters",true_belief,reality,False,reality,False,bucket,drawer,False,reality,"[""bucket"", ""drawer""]",1,true,fact
Alexander entered the playroom. Jack entered the playroom. The potato is in the box. Emily entered the basement. Jack moved the potato to the suitcase. Alexander exited the playroom. Emily exited the basement. Alexander entered the playroom.,Where does Alexander think that Jack searches for the potato?,suitcase,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_2_enters,agent_1_exits,agent_1_reenters_loc,agent_2_exits",true_belief,second_order_0_no_tom,False,second_order,False,box,suitcase,False,reality,"[""box"", ""suitcase""]",1,true,mind
Jack entered the laundry. Logan entered the study. Nathan entered the laundry. The persimmon is in the pantry. Jack moved the persimmon to the bucket. Nathan exited the laundry. Logan exited the study. Jack exited the laundry. Nathan entered the study.,Where will Jack look for the persimmon?,bucket,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_2_exits,agent_1_reenters_alt_loc",second_order_false_belief,first_order_0_no_tom,False,first_order,False,pantry,bucket,False,reality,"[""pantry"", ""bucket""]",1,true,mind
Nathan entered the porch. Mia entered the porch. The radish is in the crate. Nathan exited the porch. Mia moved the radish to the drawer. Liam entered the front yard.,Where does Nathan think that Mia searches for the radish?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_2_enters",false_belief,second_order_0_tom,True,second_order,True,crate,drawer,False,memory,"[""drawer"", ""crate""]",1,false,mind
Ella entered the dining room. Carter entered the dining room. The lemon is in the drawer. Ella exited the dining room. Carter moved the lemon to the pantry. Ella loves the carrot.,Where will Ella look for the lemon?,drawer,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,first_order_0_tom,True,first_order,True,drawer,pantry,False,memory,"[""pantry"", ""drawer""]",1,false,mind
Mason entered the bedroom. Isabella entered the bedroom. Carter entered the bedroom. The pineapple is in the bottle. Mason moved the pineapple to the crate. Carter exited the bedroom. Isabella exited the bedroom. Mason exited the bedroom. Isabella entered the hallway.,Where will Mason look for the pineapple?,crate,1,"enter_agent_0,enter_agent_1,agent_2_enters,agent_0_moves_obj,agent_1_exits,agent_2_exits,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,first_order_0_no_tom,False,first_order,False,bottle,crate,False,reality,"[""bottle"", ""crate""]",1,true,mind
Aria entered the bedroom. Jackson entered the bedroom. The pumpkin is in the container. Jackson exited the bedroom. Aria moved the pumpkin to the envelope. Jackson hates the strawberry. Jackson entered the bedroom. Jackson dislikes the boots.,Where does Aria think that Jackson searches for the pumpkin?,envelope,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,second_order_0_no_tom,False,second_order,False,container,envelope,False,reality,"[""container"", ""envelope""]",1,true,mind
Mason entered the sunroom. Ella entered the sunroom. The lemon is in the bathtub. Ella exited the sunroom. Mason moved the lemon to the bottle. Hannah entered the hall. Ella entered the sunroom.,Where will Mason look for the lemon?,bottle,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc,agent_2_enters",false_belief,first_order_0_no_tom,False,first_order,False,bathtub,bottle,False,reality,"[""bottle"", ""bathtub""]",0,true,mind
Mason entered the attic. Noah entered the attic. Aiden entered the attic. The cabbage is in the box. Aiden hates the cabbage. Mason moved the cabbage to the bucket. Noah exited the attic. Mason likes the tie. Aiden exited the attic. Aiden entered the hallway.,Where does Mason think that Aiden searches for the cabbage?,bucket,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_2_exits,agent_1_reenters_alt_loc",true_belief,second_order_0_no_tom,False,second_order,False,box,bucket,False,reality,"[""bucket"", ""box""]",0,true,mind
Amelia entered the patio. Nathan entered the patio. The cherry is in the box. Nathan moved the cherry to the bottle. Amelia exited the patio. Nathan exited the patio. Amelia entered the patio.,Where does Amelia think that Nathan searches for the cherry?,bottle,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,second_order_0_no_tom,False,second_order,False,box,bottle,False,reality,"[""bottle"", ""box""]",0,true,mind
Alexander entered the garden. James entered the garden. Alexander exited the garden. James dislikes the socks. Avery entered the garden. The boots is in the basket. Avery exited the garden. Avery entered the garden. James moved the boots to the container.,Where will Avery look for the boots?,container,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,first_order_1_no_tom,False,first_order,False,basket,container,False,reality,"[""container"", ""basket""]",0,true,mind
Sophia entered the laundry. Benjamin entered the laundry. The jeans is in the basket. Sophia moved the jeans to the treasure chest. Benjamin exited the laundry.,Where will Benjamin look for the jeans?,treasure chest,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits",true_belief,first_order_1_no_tom,False,first_order,False,basket,treasure chest,False,reality,"[""treasure chest"", ""basket""]",0,true,mind
